cod_ibge;empresas
2409209;27
2409308;158
2409332;38
2409407;750
2409506;42
2409605;15
2409704;52
2409803;73
2409902;93
2410009;36
2410108;40
2410207;76
2410256;35
2410306;77
2410405;52
2410504;50
2410603;27
2410702;26
2410801;20
2410900;47
2411007;34
2411056;105
2411106;17
2411205;583
2411403;141
2411429;53
2411502;245
2411601;58
2411700;23
2411809;42
2411908;33
2412005;983
2412104;64
2412203;579
2412302;106
2412401;88
2412500;292
2412559;236
2412609;189
2412708;30
2412807;57
2412906;96
2413003;85
2413102;30
2413201;25
2413300;61
2413359;160
2413409;121
2413508;46
2413557;82
2413607;52
2413706;30
2413805;28
2413904;43
2414001;139
2414100;126
2414159;68
2414209;704
2414308;41
2414407;363
2414456;29
2414506;208
2414605;115
2414704;42
2414753;34
2414803;91
2414902;12
2415008;25
2500106;97
2500205;46
2500304;224
2500403;139
2500502;97
2500536;40
2500577;13
2500601;182
2500700;244
2500734;15
2500775;82
2500809;131
2500908;101
2501005;153
2501104;252
2501153;12
2501203;59
2501302;51
2501351;43
2501401;87
2501500;270
2501534;35
2501575;29
2501609;96
2501708;37
2501807;843
2501906;149
2502003;58
2502052;18
2502102;66
2502151;74
2502201;17
2502300;44
2502409;104
2502508;156
2502607;42
2502706;31
2502805;150
2502904;65
2503001;142
2503100;59
2503209;1519
2503308;72
2503407;30
2503506;118
2503555;36
2503605;57
2503704;1484
2503753;27
2503803;33
2503902;45
2504009;9466
2504033;55
2504074;30
2504108;17
2504157;53
2504207;29
2504306;603
2504355;37
2504405;363
2504504;45
2504603;407
2504702;75
2504801;322
2504850;26
2504900;99
2505006;57
2505105;288
2505204;61
2505238;44
2505279;20
2505303;19
2505352;36
2505402;65
2505501;24
2505600;101
2505709;84
2505808;27
2505907;13
2506004;581
2506103;50
2506202;26
2506251;18
2506301;1205
2506400;90
2506509;30
2506608;81
2506707;98
2506806;154
2506905;278
2507002;545
2507101;151
2507200;52
2507309;172
2507408;68
2507507;22240
2507606;53
2507705;145
2507804;106
2507903;71
2508000;77
2508109;47
2508208;52
2508307;240
2508406;21
2508505;41
2508554;28
2508604;128
2508703;22
2508802;46
2508901;590
2509008;94
2509057;55
2509107;143
2509156;75
2509206;69
2509305;82
2509339;18
2509370;24
2509396;62
2509404;99
2509503;31
2509602;38
2509701;409
2509800;45
2509909;15
2510006;66
2510105;115
2510204;47
2510303;36
2510402;35
2510501;26
2510600;22
2510659;16
2510709;19
2510808;2104
2510907;138
2511004;44
2511103;49
2511202;269
2511301;221
2511400;240
2511509;68
2511608;80
2511707;20
2511806;68
2511905;118
2512002;173
2512036;22
2512077;58
