MUNICIPIO IBGE;Min - DATA INÍCIO;Count - NOME INSTITUIÇÃO                                                                                                                                                                                        ;ano;mês;anomes
2311603;;3;;;
2311801;;4;;;
2312007;;1;;;
2312106;11/11/2011;1;2011;11;201111
2312205;;4;;;
2312304;;4;;;
2312403;9/10/1986;3;1986;10;198610
2312700;6/1/1943;2;1943;1;19431
2312908;5/2/1934;10;1934;2;19342
2313005;12/4/1978;1;1978;4;19784
2313104;;2;;;
2313203;;2;;;
2313302;12/9/1961;4;1961;9;19619
2313401;12/6/1978;5;1978;6;19786
2313500;2/5/1987;3;1987;5;19875
2313609;7/8/1963;1;1963;8;19638
2313807;6/1/1978;1;1978;1;19781
2313955;8/8/1985;1;1985;8;19858
2314003;1/7/2013;3;2013;7;20137
2314102;1/9/2014;3;2014;9;20149
2400208;12/1/1978;4;1978;1;19781
2400505;8/2/1979;1;1979;2;19792
2400703;;1;;;
2400802;1/2/1959;2;1959;2;19592
2401008;4/5/1976;4;1976;5;19765
2401107;;2;;;
2401305;;1;;;
2401453;;1;;;
2402006;12/1/1978;5;1978;1;19781
2402204;12/11/1986;2;1986;11;198611
2402303;11/3/2011;2;2011;3;20113
2402600;11/8/2011;4;2011;8;20118
2403103;7/3/1954;4;1954;3;19543
2403251;8/3/1987;7;1987;3;19873
2403608;9/9/2013;1;2013;9;20139
2404200;6/1/1978;4;1978;1;19781
2404507;;1;;;
2405702;;1;;;
2405801;11/9/2011;4;2011;9;20119
2406106;;1;;;
2406700;12/1/1978;1;1978;1;19781
2407104;11/9/2011;4;2011;9;20119
2407203;7/3/1978;4;1978;3;19783
2407807;9/10/1986;2;1986;10;198610
2408003;2/10/1958;14;1958;10;195810
2408102;3/1/1947;61;1947;1;19471
2408300;;3;;;
2408904;;1;;;
2409308;4/11/1983;1;1983;11;198311
2409407;10/1/1957;4;1957;1;19571
2411205;11/12/1960;4;1960;12;196012
2411502;9/12/2011;3;2011;12;201112
2412005;6/1/1979;7;1979;1;19791
2412203;9/10/1986;3;1986;10;198610
2412500;12/1/1978;2;1978;1;19781
2412609;4/5/1976;1;1976;5;19765
2414407;;2;;;
2414506;4/5/1976;2;1976;5;19765
2500304;9/12/2011;2;2011;12;201112
2500403;;1;;;
2500601;9/11/1986;1;1986;11;198611
2500700;11/11/2011;1;2011;11;201111
2501005;;1;;;
2501104;2/1/1951;2;1951;1;19511
2501500;;2;;;
2501807;9/11/1986;5;1986;11;198611
2501906;;1;;;
2502805;12/12/2011;1;2011;12;201112
2503209;11/7/2014;5;2014;7;20147
2503704;6/3/1938;6;1938;3;19383
2504009;9/9/1948;20;1948;9;19489
2504306;11/7/1959;4;1959;7;19597
2504405;11/10/2011;2;2011;10;201110
2505105;9/12/2011;2;2011;12;201112
2506004;7/6/1987;3;1987;6;19876
2506301;4/6/1970;5;1970;6;19706
2506905;12/1/1978;3;1978;1;19781
2507002;1/2/1958;4;1958;2;19582
2507507;4/1/1916;75;1916;1;19161
2508901;3/4/1953;4;1953;4;19534
2509107;9/12/2011;1;2011;12;201112
2509701;11/9/2011;4;2011;9;20119
2510808;;7;;;
2511202;8/6/1987;2;1987;6;19876
2511301;10/11/1965;1;1965;11;196511
2511400;12/7/2012;3;2012;7;20127
2511806;;1;;;
2512002;;1;;;
